stationName,start_station_id,lat,lon,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
 Municipal Services Building Plaza                           ,3004,39.953781,-75.163742,44,27,13,3,3,8,20,23,42,66,81,107,158,168,164,175,283,588,346,256,141,92,68,42
" Welcome Park, NPS                                           ",3005,39.94733,-75.144028,50,32,42,10,3,46,41,45,43,41,52,51,62,57,77,107,90,138,188,102,88,113,60,56
 40th & Spruce                                               ,3006,39.952202,-75.20311,68,33,21,30,9,11,35,94,154,135,137,118,153,145,137,126,191,267,245,244,195,157,145,72
" 11th & Pine, Kahn Park                                      ",3007,39.945171,-75.159927,54,36,27,3,3,40,166,147,427,206,202,158,180,159,168,177,214,332,351,266,176,124,96,54
 Temple University Station                                   ,3008,39.98082,-75.149727,7,5,1,2,1,,2,16,18,16,33,36,38,37,29,36,50,110,70,61,46,28,12,7
 33rd & Market                                               ,3009,39.955761,-75.189819,41,32,19,9,4,8,21,40,174,121,100,135,143,182,167,230,310,550,376,286,229,179,110,79
 15th & Spruce                                               ,3010,39.947109,-75.166183,86,76,38,39,15,77,92,226,504,330,242,242,312,315,310,326,410,752,591,514,333,285,211,129
 38th & Lancaster                                            ,3011,39.960461,-75.197006,11,4,11,,6,8,14,53,143,95,87,55,68,83,71,79,98,90,107,104,68,42,45,14
 21st & Catharine                                            ,3012,39.942181,-75.177467,11,6,2,3,5,123,253,558,649,235,248,179,178,133,141,143,159,219,299,197,132,77,59,31
 6th & Fairmount                                             ,3013,39.963169,-75.147919,14,3,4,,,62,44,188,146,58,39,44,41,60,44,25,42,51,83,61,43,20,17,11
" 21st & Winter, Franklin Institute                           ",3014,39.958858,-75.173691,23,18,16,9,9,41,39,73,234,265,119,118,146,160,175,152,182,331,202,193,124,104,106,57
" 4th & Walnut, NPS                                           ",3015,39.94735,-75.148857,18,14,5,1,12,42,14,27,57,66,57,89,140,91,117,145,198,322,159,117,63,56,35,51
" 11th & Poplar, John F. Street Community Center              ",3016,39.968922,-75.154701,,2,,,,1,12,,9,18,6,10,17,10,6,5,14,5,4,12,4,1,4,2
 6th & Berks                                                 ,3017,39.98003,-75.143707,6,4,3,3,,1,2,6,21,13,19,25,17,13,16,15,25,33,23,23,20,21,7,13
 12th & Filbert                                              ,3018,39.952728,-75.15979,39,43,16,5,5,5,17,60,162,134,196,183,249,281,282,339,388,569,329,185,135,104,74,56
 6th & Race                                                  ,3019,39.954029,-75.149834,4,10,13,,7,2,8,22,33,35,30,54,63,66,74,63,210,285,118,62,37,13,22,13
 University City Station                                     ,3020,39.948872,-75.189857,24,10,5,2,2,9,14,170,155,73,61,96,150,177,166,314,659,1010,607,423,220,117,66,45
 18th & JFK                                                  ,3021,39.953899,-75.169022,42,18,14,8,5,24,64,121,145,160,138,195,281,261,323,391,703,1476,869,487,298,189,113,86
 Amtrak 30th Street Station                                  ,3022,39.95472,-75.183228,75,21,12,24,5,7,167,261,374,227,152,223,225,225,246,280,343,739,586,427,348,234,152,101
 Rittenhouse Square                                          ,3023,39.950481,-75.172859,176,93,59,24,13,30,112,343,573,455,388,438,532,540,549,628,723,1027,896,699,587,432,307,224
" 43rd & Chester, Clark Park                                  ",3024,39.948219,-75.209084,10,9,2,1,,,19,108,198,207,81,95,92,61,80,63,83,108,95,69,77,58,30,13
 11th & Washington                                           ,3025,39.937241,-75.161201,20,10,8,6,4,17,90,83,361,195,87,82,93,119,132,89,100,97,100,110,130,96,60,30
 2nd & South                                                 ,3026,39.94138,-75.145638,57,70,46,28,1,74,86,222,242,161,136,164,167,145,125,130,163,195,190,169,139,177,150,108
" 40th Street Station, MFL                                    ",3027,39.957081,-75.201767,18,11,5,5,2,11,17,58,133,128,75,86,77,94,82,82,109,114,128,118,103,63,64,33
 4th & Bainbridge                                            ,3028,39.940609,-75.149582,42,27,23,20,19,33,117,356,328,243,163,197,188,202,175,180,186,241,297,271,207,114,106,48
 36th & Sansom                                               ,3029,39.9538,-75.194794,30,20,8,5,1,3,17,33,132,92,135,168,327,275,295,436,591,629,408,311,233,158,81,53
 Darien & Catharine                                          ,3030,39.93935,-75.157158,11,6,5,2,2,30,122,259,510,244,142,154,157,121,137,128,147,190,175,138,110,65,58,27
 13th & Montgomery                                           ,3031,39.980049,-75.15522,25,15,9,12,4,2,4,9,43,55,64,116,125,101,147,181,232,346,170,167,125,48,33,29
 23rd & South                                                ,3032,39.945271,-75.17971,23,21,12,10,13,134,369,406,640,344,294,316,295,282,224,230,283,377,458,373,226,166,133,54
